Origin_airport,Destination_airport,Numtimes,Passengers,Seats,Flights,Distance,Origin_population,Destination_population
SEA,RDM,12,23347,39812,1076,228,5831556,105731
RDD,RDM,6,581,1364,11,265,164156,105731
EKO,RDM,2,215,248,2,362,48011,105731
PDX,RDM,14,63084,102706,2776,116,1829786,105731
ELP,EKO,10,1227,1362,11,813,694603,48011
DBQ,EKO,2,243,248,2,1299,87879,48011
ABI,EKO,8,896,992,8,1064,153457,48011
YKM,EKO,11,1253,1364,11,462,218808,48011
ORD,EKO,9,1371,1736,14,1445,17529224,48011
IAH,EKO,4,554,620,5,1370,4445918,48011
HOU,EKO,5,561,620,5,1387,4445918,48011
TUS,EKO,6,545,744,6,658,790333,48011
PIA,EKO,2,229,248,2,1365,365232,48011
CWA,EKO,9,1028,1116,9,1350,123082,48011
FOE,EKO,9,1385,1488,12,1075,224406,48011
DLH,EKO,1,118,124,1,1245,267894,48011
DFW,EKO,11,2303,2852,23,1170,9475022,48011
FAT,EKO,7,681,868,7,350,755051,48011
LRD,EKO,5,586,620,5,1304,186798,48011
EUG,EKO,4,434,496,4,442,313344,48011
FAR,EKO,5,540,620,5,1033,168410,48011
MOT,EKO,6,676,744,6,879,67425,48011
TUL,EKO,9,1039,1116,9,1122,831724,48011
ACT,EKO,9,993,1116,9,1212,203214,48011
GYY,EKO,5,553,620,5,1473,8764612,48011
RDM,EKO,6,635,744,6,362,105731,48011
OMA,EKO,12,5044,5456,44,1037,742096,48011
EKO,EKO,1,119,124,1,0,48011,48011
BTM,EKO,9,941,1116,9,391,34540,48011
AUS,EKO,11,1598,1736,14,1247,1104612,48011
SLC,EKO,9,1944,2228,18,200,906185,48011
CRP,EKO,9,998,1116,9,1375,409279,48011
GJT,EKO,12,1879,2071,17,404,112899,48011
OKC,EKO,12,1997,2144,17,1057,1052642,48011
SBA,EKO,7,550,992,8,494,389472,48011
SPS,EKO,12,1492,1612,13,1059,147313,48011
CLM,EKO,9,940,1116,9,631,64273,48011
LBF,EKO,2,347,372,3,789,34913,48011
COS,EKO,6,656,744,6,605,510597,48011
MFR,EKO,7,734,868,7,382,173243,48011
MSN,EKO,6,814,868,7,1366,498146,48011
LBL,EKO,1,121,124,1,839,20072,48011
ICT,EKO,11,1335,1488,12,1007,571047,48011
GEG,EKO,12,1773,1984,16,477,408221,48011
PHX,EKO,10,1383,1856,15,550,2930726,48011
SEA,EKO,12,5391,6200,50,560,5831556,48011
AMA,EKO,11,1665,1736,14,858,215931,48011
RDD,EKO,4,431,496,4,342,164156,48011
CYS,EKO,5,561,620,5,574,78583,48011
LWS,EKO,12,1438,1612,13,388,58128,48011
CMI,EKO,2,226,248,2,1446,200333,48011
CLE,EKO,1,89,124,1,1760,2121415,48011
FCA,EKO,11,1229,1612,13,523,71888,48011
GRB,EKO,8,938,992,8,1425,268695,48011
SJC,EKO,9,1273,1610,13,407,1690832,48011
PDX,EKO,11,2749,3472,28,475,1829786,48011
ALO,EKO,1,123,124,1,1212,156495,48011
RFD,EKO,6,671,744,6,1382,306413,48011
RAP,EKO,11,3783,4092,33,687,108937,48011
SAN,EKO,9,929,1380,11,563,2766123,48011
STL,EKO,4,423,496,4,1356,2655631,48011
MKE,EKO,8,1205,1364,11,1439,1459602,48011
EAU,EKO,5,576,620,5,1260,143801,48011
BLI,EKO,12,2436,2728,22,642,157244,48011
DSM,EKO,7,762,868,7,1152,462181,48011
MCW,EKO,1,122,124,1,1164,53815,48011
FSM,EKO,2,222,248,2,1224,257198,48011
FOD,EKO,1,120,124,1,1121,38975,48011
CID,EKO,6,694,744,6,1250,228316,48011
GRI,EKO,5,592,620,5,914,66291,48011
IND,EKO,1,115,124,1,1554,1438091,48011
ABQ,EKO,12,4127,4464,36,640,692551,48011
GFK,EKO,6,696,744,6,1041,97862,48011
MCI,EKO,4,480,496,4,1119,1795891,48011
SBN,EKO,4,405,496,4,1528,308160,48011
LIT,EKO,1,114,124,1,1352,579683,48011
BMI,EKO,4,446,496,4,1406,143366,48011
GTF,EKO,8,970,1116,9,510,78558,48011
TWF,EKO,1,212,248,2,133,80179,48011
SPI,EKO,3,332,372,3,1375,204012,48011
SAT,EKO,12,2645,2728,22,1248,1650418,48011
SGF,EKO,5,562,620,5,1227,345603,48011
MSP,EKO,4,427,496,4,1176,2830434,48011
BFF,EKO,9,2193,2356,19,637,36892,48011
MCO,ERI,1,136,141,1,943,1502837,278114
ITH,ERI,1,42,100,1,193,97239,278114
EWR,ERI,2,70,92,2,326,17341505,278114
