Origin_airport,Destination_airport,Numtimes,Passengers,Seats,Flights,Distance,Origin_population,Destination_population
PIA,EKO,3,328,366,3,1365,364769,44934
UIN,EKO,3,308,366,3,1295,77406,44934
RFD,EKO,6,679,732,6,1382,331209,44934
CMI,EKO,4,301,488,4,1446,215601,44934
ORD,EKO,9,1036,1220,10,1445,18572324,44934
DEC,EKO,3,476,610,5,1418,110656,44934
BMI,EKO,4,419,488,4,1406,157257,44934
SPI,EKO,5,508,610,5,1375,204323,44934
ORD,ERI,1,50,50,1,398,18572324,282200
SPI,RNO,3,376,390,3,1597,204323,374743
ORD,RNO,13,91592,115670,855,1671,18572324,374743
MDW,RNO,5,582,650,5,1680,18572324,374743
ORD,CAK,18,39059,52829,1055,344,18572324,700286
ORD,FAR,12,33667,52350,1047,557,18572324,179461
MDW,FNT,12,55431,76296,2244,221,18572324,439544
ORD,MIA,101,480031,654056,4257,1197,18572324,10561342
MDW,MIA,22,94903,140023,770,1182,18572324,10561342
BMI,OMA,1,27,50,1,369,157257,790535
ORD,OMA,73,234532,333067,3602,416,18572324,790535
MDW,OMA,36,165191,279392,2071,423,18572324,790535
ORD,TPA,72,314253,411082,2896,1012,18572324,2522780
MDW,TPA,24,91232,148645,1085,997,18572324,2522780
ORD,TUL,42,128285,204949,2606,585,18572324,876919
MDW,TUL,4,238,605,5,583,18572324,876919
ORD,ALB,87,165639,220862,3042,723,18572324,839741
MDW,ALB,4,58,685,5,717,18572324,839741
ORD,AUS,56,247449,357056,3462,978,18572324,1382693
ORD,BGR,1,179,182,1,978,18572324,147123
MDW,BOS,36,157693,225315,1094,861,18572324,8916374
ORD,BOS,115,706775,969212,7111,867,18572324,8916374
ORD,DFW,127,793515,1197579,10321,802,18572324,11164066
MDW,DFW,35,303192,408884,3119,797,18572324,11164066
ORD,DAL,1,82,87,1,798,18572324,11164066
MDW,DAL,1,42,56,1,793,18572324,11164066
ORD,DAY,88,185874,254556,3574,240,18572324,845508
MDW,DAY,12,51494,78234,2301,226,18572324,845508
ORD,DLH,1,53,125,1,397,18572324,275582
PIA,MWA,1,21,30,1,204,364769,62315
ORD,MOB,1,32,50,1,779,18572324,397707
ORD,EWR,136,658543,982416,8764,719,18572324,18671320
MDW,EWR,62,237809,355723,2260,711,18572324,18671320
MDH,PIA,1,22,33,1,200,58750,364769
BMI,PIA,5,1035,3808,112,42,157257,364769
ORD,PIA,52,78301,131886,2702,130,18572324,364769
CMI,PIA,2,36,68,2,86,215601,364769
PIA,PIA,2,72,100,2,0,364769,364769
SPI,UIN,1,37,550,11,81,204323,77406
ORD,TOL,27,45640,67657,1432,214,18572324,669292
MDW,TOL,12,38530,60622,1783,205,18572324,669292
ORD,TUS,26,120012,150454,1183,1437,18572324,903320
MDW,TUS,1,133,137,1,1440,18572324,903320
ORD,CWA,17,38023,58682,1165,213,18572324,126400
MDW,ABI,1,66,87,1,921,18572324,158053
ORD,ABI,1,14,50,1,924,18572324,158053
MDW,ATL,36,401475,566144,4465,590,18572324,4673146
ORD,ATL,162,746101,981971,7987,606,18572324,4673146
PIA,ATL,12,32217,52200,1071,564,364769,4673146
BMI,ATL,23,72882,113727,1032,533,157257,4673146
ORD,AGS,1,149,173,1,677,18572324,509465
RFD,BUF,1,144,173,1,531,331209,1154212
ORD,BUF,85,231888,300024,4291,473,18572324,1154212
MDW,BUF,3,207,328,3,468,18572324,1154212
BMI,ORD,23,44079,66975,1361,116,157257,18572324
SPI,ORD,12,47176,71350,1427,174,204323,18572324
SPI,MDW,12,19798,43078,1267,168,204323,18572324
MDW,ORD,3,212,321,3,16,18572324,18572324
ORD,MDW,6,626,746,6,16,18572324,18572324
ORD,ORD,3,337,650,13,0,18572324,18572324
PIA,ORD,67,84287,134218,2723,130,364769,18572324
PIA,MDW,7,989,1538,8,127,364769,18572324
CMI,ORD,29,52741,88293,1853,135,215601,18572324
CMI,MDW,5,2530,3364,18,124,215601,18572324
RFD,ORD,43,9029,10791,74,63,331209,18572324
RFD,MDW,7,2505,2995,16,75,331209,18572324
SPI,DEC,1,120,122,1,43,204323,110656
CMI,DTW,12,19787,35360,1040,298,215601,8985512
CMI,YIP,2,159,223,2,290,215601,8985512
BMI,DTW,13,25559,38897,1143,314,157257,8985512
ORD,DTW,189,621996,951444,8441,235,18572324,8985512
MDW,DTW,88,325091,529592,4274,229,18572324,8985512
ORD,YIP,1,20,50,1,226,18572324,8985512
PIA,DTW,5,2490,6418,178,346,364769,8985512
CMI,DBQ,1,25,50,1,207,215601,90116
ORD,DBQ,24,31349,49064,1045,147,18572324,90116
ORD,ELP,12,61611,93780,727,1236,18572324,694672
ORD,IAH,155,483462,756544,6211,925,18572324,5084017
MDW,HOU,35,101562,128684,961,937,18572324,5084017
ORD,HOU,2,138,232,2,945,18572324,5084017
MDW,JAN,31,52428,98004,717,666,18572324,509068
ORD,JAN,1,60,100,1,677,18572324,509068
ORD,JAC,9,24421,40490,230,1162,18572324,25896
ORD,OGG,9,41393,50784,248,4184,18572324,134742
ORD,LAN,23,43112,68800,1375,179,18572324,454600
CMI,LAN,4,206,245,4,269,215601,454600
ORD,LNK,33,58651,76622,1468,466,18572324,278417
MDW,LNK,1,247,247,1,473,18572324,278417
CMI,MSN,3,172,250,3,221,215601,526419
ORD,MSN,50,234874,321318,5464,109,18572324,526419
MDW,MSN,12,30894,58786,1729,124,18572324,526419
ORD,MEM,101,177413,282960,4006,491,18572324,1238075
MDW,MEM,3,100,237,3,480,18572324,1238075
ORD,MAF,1,108,129,1,1048,18572324,117957
MDW,OAK,20,114368,146219,1067,1844,18572324,4153143
ORD,OAK,31,150824,185322,1391,1835,18572324,4153143
CMI,OAK,1,207,215,1,1826,215601,4153143
RFD,SFB,5,9665,14612,85,1025,331209,1803474
CMI,SFB,1,172,173,1,874,215601,1803474
BMI,MCO,12,4775,6201,53,936,157257,1803474
ORD,MCO,107,536024,659483,4464,1005,18572324,1803474
MDW,MCO,58,315372,418056,2152,989,18572324,1803474
ORD,OSH,2,157,1805,95,142,18572324,158294
ORD,PHX,106,651009,760111,5556,1440,18572324,3600163
MDW,PHX,48,304851,373931,2390,1444,18572324,3600163
MDW,RDU,27,83192,139832,1021,632,18572324,889313
ORD,RDU,52,276118,358721,4085,647,18572324,889313
ORD,ROA,12,37492,51100,1023,531,18572324,289522
ORD,MBS,17,49513,86888,1737,222,18572324,208182
MDW,SEA,28,199030,265251,1672,1733,18572324,6277876
ORD,SEA,83,600537,741371,4654,1721,18572324,6277876
MDW,BFI,2,136,299,2,1733,18572324,6277876
MDW,GEG,1,135,137,1,1511,18572324,430867
ORD,GEG,35,33205,45471,376,1498,18572324,430867
BMI,ICT,1,33,50,1,497,157257,579800
ORD,ICT,26,79369,104587,2103,588,18572324,579800
MDW,ICT,2,2265,7254,62,589,18572324,579800
ORD,AMA,1,88,129,1,879,18572324,232791
MDW,AMA,1,135,137,1,880,18572324,232791
ORD,ATW,22,90502,159922,1770,160,18572324,210245
ORD,BPT,1,63,104,1,897,18572324,380030
MDW,COU,2,247,274,2,313,18572324,151486
BMI,COU,1,22,68,1,210,157257,151486
ORD,CAE,13,46304,63588,1268,666,18572324,673209
MDW,CAE,1,74,150,1,651,18572324,673209
CMI,CMH,1,42,50,1,287,215601,1678827
MDW,CMH,34,144869,228653,1672,284,18572324,1678827
ORD,CMH,94,343860,481133,6259,296,18572324,1678827
MDW,LCK,1,118,148,1,287,18572324,1678827
ORD,GPT,1,236,258,1,800,18572324,249989
ORD,BDL,93,404894,534280,4070,783,18572324,1173575
MDW,BDL,24,58042,95626,698,777,18572324,1173575
ORD,HNL,12,73076,83299,402,4243,18572324,888026
ORD,MTJ,4,1296,1935,15,1081,18572324,35674
MDW,LGA,47,307124,488279,3089,725,18572324,37342640
ORD,LGA,100,962015,1363893,10318,733,18572324,37342640
ORD,JFK,79,25361,55138,566,740,18572324,37342640
MDW,JFK,3,120,366,3,732,18572324,37342640
ORD,PWM,41,69578,94219,1962,900,18572324,506179
ORD,PDX,49,360249,430277,3081,1739,18572324,2034000
ORD,RIC,91,127631,185056,2734,642,18572324,1139312
ORD,RFD,1,117,120,1,63,18572324,331209
ORD,SJC,53,344433,447172,3309,1829,18572324,1723138
MDW,SJC,21,86096,142953,684,1838,18572324,1723138
BMI,SAV,1,47,50,1,719,157257,304965
ORD,SAV,15,50601,62200,1243,773,18572324,304965
ORD,SVN,1,215,346,2,782,18572324,304965
ORD,AVP,12,27324,40450,809,631,18572324,550507
ORD,SYR,57,151405,209554,3808,607,18572324,649679
MDW,SYR,1,31,60,1,602,18572324,649679
MWA,ALO,1,121,148,1,377,62315,161540
ORD,ALO,2,587,1387,73,234,18572324,161540
MDH,ALO,1,27,44,1,369,58750,161540
ORD,ABE,22,44619,59570,1190,654,18572324,765926
ORD,ANC,23,79121,100185,673,2846,18572324,339131
RFD,BWI,1,157,183,1,684,331209,2621815
MDW,BWI,36,258941,366439,2676,611,18572324,2621815
ORD,BWI,93,443047,592847,3952,621,18572324,2621815
ORD,CMI,28,51831,88306,1852,135,18572324,215601
SPI,CMI,1,5,30,1,76,204323,215601
ORD,CLT,113,355725,535083,5094,599,18572324,1436890
MDW,CLT,36,158704,266544,2086,584,18572324,1436890
ORD,CLE,127,352442,530786,7356,316,18572324,2136026
MDW,CLE,64,275480,434030,4152,307,18572324,2136026
ORD,BKL,1,26,58,1,323,18572324,2136026
ORD,FAI,1,40,120,1,2785,18572324,89198
ORD,GRB,50,110410,172837,3286,174,18572324,290972
MDW,GRB,1,117,148,1,188,18572324,290972
ORD,AZO,49,66763,115318,2361,122,18572324,321092
ORD,TYS,36,81490,120742,2481,475,18572324,641551
MDW,TYS,1,21,32,1,459,18572324,641551
CMI,TYS,2,152,234,2,374,215601,641551
ORD,LSE,25,27668,47807,1023,215,18572324,128614
ORD,LAS,142,747055,859512,5799,1515,18572324,1572924
MDW,LAS,50,423678,502408,3097,1521,18572324,1572924
PIA,LAS,2,352,529,3,1413,364769,1572924
BMI,LAS,2,244,359,2,1452,157257,1572924
SPI,LAS,1,171,173,1,1410,204323,1572924
RFD,LAS,8,5517,6472,36,1456,331209,1572924
ORD,LEX,14,42057,53000,1062,326,18572324,426187
MDW,LEX,12,29545,50558,1487,311,18572324,426187
ORD,MQT,10,3802,6032,121,303,18572324,64623
MDW,MKE,12,55412,90542,2663,81,18572324,1528417
ORD,MKE,62,221354,321059,5402,67,18572324,1528417
RFD,MKE,1,49,170,1,80,331209,1528417
BMI,MKE,2,61,100,2,178,157257,1528417
MDW,BNA,41,189387,351883,2666,395,18572324,1386743
ORD,BNA,74,221148,289542,4601,409,18572324,1386743
ORD,NPA,2,224,346,2,802,18572324,433589
ORD,PNS,1,124,173,1,794,18572324,433589
ORD,RST,37,51305,94928,1248,268,18572324,171822
MDW,RST,1,89,100,1,282,18572324,171822
PIA,RST,1,6,34,1,266,364769,171822
ORD,ROC,76,194129,285807,4009,528,18572324,1039674
ORD,SAN,52,448483,542719,3991,1723,18572324,2926814
MDW,SAN,15,133137,163411,1193,1728,18572324,2926814
ORD,SNA,52,364241,466253,3174,1726,18572324,12717433
BMI,STL,34,58515,106022,2617,142,157257,2743862
SPI,STL,22,55582,92058,3018,84,204323,2743862
ORD,STL,104,536098,742511,6686,258,18572324,2743862
