Origin_airport,Destination_airport,Numtimes,Passengers,Seats,Flights,Distance,Origin_population,Destination_population
SEA,RDM,13,38207,52940,1431,228,6277876,129322
PHX,RDM,1,80,120,1,893,3600163,129322
BFI,RDM,1,32,148,1,233,6277876,129322
GGG,RDM,4,588,826,6,1643,197353,129322
SFO,RDM,12,19544,25320,844,462,8306286,129322
LMT,RDM,1,16,37,1,147,64549,129322
PDX,RDM,29,78540,124417,3678,116,2034000,129322
FAT,RDM,1,100,120,1,521,844194,129322
EKO,RDM,6,581,732,6,362,44934,129322
SMF,RDM,1,64,70,1,384,1967052,129322
DAY,EKO,1,108,122,1,1658,845508,44934
DFW,EKO,10,1079,1342,11,1170,11164066,44934
LAW,EKO,1,121,122,1,1043,110484,44934
DLH,EKO,3,333,366,3,1245,275582,44934
LRD,EKO,8,1073,1220,10,1301,210229,44934
CPR,EKO,7,671,854,7,502,67957,44934
HLN,EKO,4,384,488,4,442,67196,44934
EUG,EKO,1,58,122,1,442,330447,44934
FAT,EKO,3,209,366,3,350,844194,44934
MOT,EKO,6,523,732,6,879,64928,44934
TUL,EKO,6,666,732,6,1122,876919,44934
CAK,EKO,4,435,488,4,1788,700286,44934
RNO,EKO,12,16296,33720,1124,230,374743,44934
ACT,EKO,8,844,976,8,1212,219485,44934
GYY,EKO,7,658,976,8,1473,9286162,44934
OMA,EKO,4,531,610,5,1037,790535,44934
AUS,EKO,9,970,1098,9,1253,1382693,44934
FAR,EKO,6,558,732,6,1033,179461,44934
RDM,EKO,6,580,732,6,362,129322,44934
BTM,EKO,3,251,366,3,391,33052,44934
PUB,EKO,5,517,610,5,627,147931,44934
SLN,EKO,5,525,610,5,973,59829,44934
CWA,EKO,5,595,610,5,1350,126400,44934
TOL,EKO,6,710,732,6,1658,669292,44934
PIA,EKO,3,328,366,3,1365,364769,44934
FOE,EKO,5,542,610,5,1075,225567,44934
TUS,EKO,4,351,610,5,658,903320,44934
UIN,EKO,3,308,366,3,1295,77406,44934
MKE,EKO,7,771,854,7,1439,1528417,44934
SAN,EKO,2,305,488,4,563,2926814,44934
BNA,EKO,2,211,244,2,1603,1386743,44934
BLI,EKO,7,807,854,7,642,177821,44934
STL,EKO,2,194,244,2,1356,2743862,44934
FWA,EKO,7,705,854,7,1594,398574,44934
EVV,EKO,2,146,244,2,1517,345355,44934
DSM,EKO,6,726,854,7,1152,504107,44934
FSM,EKO,4,292,488,4,1224,278393,44934
CVG,EKO,3,231,366,3,1649,2066256,44934
FOD,EKO,3,222,366,3,1121,39372,44934
EAU,EKO,6,616,732,6,1260,151701,44934
CYS,EKO,3,288,366,3,574,84287,44934
GEG,EKO,4,405,488,4,477,430867,44934
SEA,EKO,8,1215,1708,14,560,6277876,44934
BPT,EKO,5,440,610,5,1433,380030,44934
BIS,EKO,5,490,610,5,855,96846,44934
PHX,EKO,4,535,732,6,550,3600163,44934
ICT,EKO,8,910,1098,9,1007,579800,44934
AMA,EKO,6,662,854,7,858,232791,44934
BIL,EKO,3,231,366,3,501,142707,44934
RDD,EKO,2,118,244,2,342,174417,44934
GGG,EKO,4,362,488,4,1303,197353,44934
LWS,EKO,4,390,488,4,388,58196,44934
MSO,EKO,4,326,488,4,429,99832,44934
MFR,EKO,4,298,488,4,382,189469,44934
LBB,EKO,5,431,610,5,913,259146,44934
OAK,EKO,3,131,610,5,405,4153143,44934
MAF,EKO,5,395,610,5,972,117957,44934
MSN,EKO,7,745,854,7,1366,526419,44934
LBL,EKO,2,167,244,2,839,22688,44934
LNK,EKO,3,271,366,3,995,278417,44934
GRB,EKO,6,705,732,6,1425,290972,44934
FCA,EKO,4,392,488,4,523,79167,44934
LSE,EKO,5,530,610,5,1269,128614,44934
ALO,EKO,5,463,610,5,1212,161540,44934
PDX,EKO,5,580,732,6,475,2034000,44934
RIW,EKO,1,116,122,1,408,35800,44934
RFD,EKO,6,679,732,6,1382,331209,44934
SJC,EKO,3,230,488,4,407,1723138,44934
CMI,EKO,4,301,488,4,1446,215601,44934
CLE,EKO,6,697,732,6,1760,2136026,44934
YKM,EKO,8,829,976,8,462,224950,44934
ABI,EKO,6,491,732,6,1064,158053,44934
IAH,EKO,4,448,488,4,1370,5084017,44934
HOU,EKO,2,209,244,2,1387,5084017,44934
DBQ,EKO,7,610,854,7,1299,90116,44934
ORD,EKO,9,1036,1220,10,1445,18572324,44934
DEC,EKO,3,476,610,5,1418,110656,44934
ELP,EKO,5,476,610,5,813,694672,44934
DTW,EKO,4,319,488,4,1675,8985512,44934
TWF,EKO,3,246,274,3,133,85480,44934
BMI,EKO,4,419,488,4,1406,157257,44934
BRO,EKO,3,180,366,3,1472,357097,44934
MCI,EKO,4,385,488,4,1120,1912368,44934
GCK,EKO,2,164,244,2,830,40043,44934
LIT,EKO,3,346,366,3,1352,629617,44934
ABQ,EKO,5,455,610,5,640,766154,44934
GFK,EKO,7,547,2154,7,1041,96132,44934
SBN,EKO,7,755,854,7,1528,315623,44934
GTF,EKO,6,582,732,6,510,81065,44934
SJT,EKO,7,682,854,7,1074,106395,44934
SAT,EKO,9,1147,1342,11,1248,1808267,44934
FSD,EKO,7,627,854,7,994,203151,44934
MSP,EKO,4,447,488,4,1176,3078253,44934
SGF,EKO,5,576,610,5,1227,385508,44934
SPI,EKO,5,508,610,5,1375,204323,44934
IND,EKO,6,553,732,6,1554,1600165,44934
CID,EKO,7,611,854,7,1250,243094,44934
GRI,EKO,8,750,976,8,914,68397,44934
SLC,EKO,17,30560,55508,1835,200,1016377,44934
COS,EKO,3,488,610,5,605,572399,44934
PRB,EKO,1,55,122,1,442,254240,44934
CLM,EKO,5,526,610,5,631,66349,44934
SPS,EKO,8,813,1098,9,1059,150809,44934
CRP,EKO,9,927,1098,9,1375,403458,44934
RKS,EKO,6,554,732,6,354,36559,44934
GJT,EKO,6,654,732,6,404,124510,44934
OKC,EKO,8,834,976,8,1057,1131487,44934
SFO,EKO,1,96,244,2,417,8306286,44934
DFW,WDG,12,1734,9880,520,244,11164066,57149
PNC,WDG,12,987,11989,631,45,47107,57149
RCA,END,2,444,586,4,604,115849,57149
GRR,ERI,1,34,50,1,279,759978,282200
SBN,ERI,2,33,100,2,318,315623,282200
DCA,ERI,1,13,50,1,277,10172752,282200
CHA,ERI,1,31,122,1,557,492354,282200
ACY,ERI,11,1165,1830,15,345,261810,282200
SCE,ERI,1,13,37,1,148,140606,282200
FLL,ERI,1,41,50,1,1103,5280671,282200
ATL,ERI,1,7,50,1,626,4673146,282200
DTW,ERI,25,48608,87982,2069,163,8985512,282200
ORD,ERI,1,50,50,1,398,18572324,282200
BDL,ERI,1,24,37,1,386,1173575,282200
CAE,ERI,1,44,122,1,564,673209,282200
BOS,ERI,1,34,50,1,471,8916374,282200
TOL,ERI,1,24,30,1,190,669292,282200
CLE,ERI,10,8405,17536,915,98,2136026,282200
RIC,ERI,1,13,50,1,350,1139312,282200
CVG,ERI,26,22435,41812,1016,316,2066256,282200
MDT,ERI,1,17,37,1,221,516171,282200
BGM,ERI,1,11,37,1,216,249645,282200
FWA,ERI,1,28,44,1,271,398574,282200
MHT,ERI,1,47,50,1,450,393018,282200
PIT,ERI,55,55791,105554,2797,109,2400193,282200
ATL,GYY,1,56,120,1,574,4673146,9286162
SLC,GYY,4,450,488,4,1277,1016377,9286162
EKO,GYY,4,266,488,4,1473,44934,9286162
EVV,GYY,1,6,122,1,247,345355,9286162
ILM,GYY,1,18,122,1,725,294349,9286162
GBD,HYS,12,1699,7714,406,41,27777,27302
DDC,HYS,3,15,57,3,84,32505,27302
MCI,HYS,10,438,3686,194,247,1912368,27302
GCK,HYS,3,21,76,4,101,40043,27302
OGG,ITO,17,2882,4410,314,121,134742,156340
PHX,ITO,1,196,216,1,2804,3600163,156340
HNL,ITO,51,626415,760758,6394,216,888026,156340
SNA,ITO,1,114,124,1,2475,12717433,156340
BFL,RNO,2,157,250,2,283,706963,374743
SHV,RNO,5,600,721,5,1527,376825,374743
MCI,RNO,3,344,424,3,1337,1912368,374743
CHA,RNO,1,123,130,1,1918,492354,374743
LIT,RNO,2,246,260,2,1550,629617,374743
SBN,RNO,1,121,130,1,1755,315623,374743
SJT,RNO,2,247,260,2,1220,106395,374743
ABQ,RNO,1,122,130,1,787,766154,374743
LAX,RNO,48,130689,202544,1505,390,25434866,374743
MSP,RNO,27,83754,97718,717,1406,3078253,374743
SGF,RNO,2,252,260,2,1436,385508,374743
SAT,RNO,3,349,390,3,1391,1808267,374743
SPI,RNO,3,376,390,3,1597,204323,374743
IND,RNO,3,331,421,3,1776,1600165,374743
CLE,RNO,1,113,161,1,1987,2136026,374743
PDX,RNO,38,109063,179565,1375,444,2034000,374743
SJC,RNO,29,161819,273182,1996,188,1723138,374743
JFK,RNO,1,102,168,1,2411,37342640,374743
SCK,RNO,1,230,390,3,136,625236,374743
AVP,RNO,1,116,130,1,2301,550507,374743
LFT,RNO,1,169,173,1,1695,243494,374743
LAS,RNO,65,459528,598752,4406,345,1572924,374743
SAN,RNO,15,3146,6152,45,488,2926814,374743
SNA,RNO,6,14392,22320,180,415,12717433,374743
MKE,RNO,2,253,291,2,1667,1528417,374743
BNA,RNO,3,341,390,3,1815,1386743,374743
SMF,RNO,10,988,1746,13,113,1967052,374743
RAP,RNO,1,140,148,1,917,115849,374743
PIT,RNO,1,111,130,1,2081,2400193,374743
DSM,RNO,2,248,390,3,1377,504107,374743
FWA,RNO,1,129,130,1,1819,398574,374743
EVV,RNO,1,126,130,1,1734,345355,374743
STL,RNO,3,303,422,3,1574,2743862,374743
FOE,RNO,2,174,184,2,1290,225567,374743
TUS,RNO,3,302,397,3,710,903320,374743
DFW,RNO,20,99417,115244,851,1345,11164066,374743
EUG,RNO,1,123,161,1,365,330447,374743
DAL,RNO,5,467,656,5,1356,11164066,374743
FAT,RNO,7,753,1967,15,188,844194,374743
DAY,RNO,1,128,130,1,1882,845508,374743
EKO,RNO,12,16878,33810,1127,230,44934,374743
ACT,RNO,1,112,130,1,1376,219485,374743
TUL,RNO,4,482,551,4,1322,876919,374743
OMA,RNO,4,496,551,4,1262,790535,374743
AUS,RNO,2,248,260,2,1405,1382693,374743
RDM,RNO,1,32,148,1,336,129322,374743
SLC,RNO,57,145562,209342,2972,422,1016377,374743
COS,RNO,1,367,390,3,809,572399,374743
OKC,RNO,3,348,390,3,1248,1131487,374743
SFO,RNO,59,137236,178789,2055,192,8306286,374743
SPS,RNO,2,232,252,2,1237,150809,374743
SBA,RNO,1,118,130,1,350,402366,374743
LMT,RNO,1,58,122,1,211,64549,374743
PHL,RNO,1,115,161,1,2348,11575576,374743
OAK,RNO,41,123875,223048,1686,180,4153143,374743
LNK,RNO,5,1818,1990,15,1218,278417,374743
LBB,RNO,2,214,260,2,1074,259146,374743
MEM,RNO,3,307,390,3,1662,1238075,374743
JAN,RNO,2,231,260,2,1729,509068,374743
LBL,RNO,1,130,130,1,1035,22688,374743
MSN,RNO,1,130,130,1,1594,526419,374743
CMH,RNO,1,121,130,1,1951,1678827,374743
HNL,RNO,2,104,248,2,2572,888026,374743
BPT,RNO,2,241,260,2,1599,380030,374743
GEG,RNO,1,65,137,1,572,430867,374743
PHX,RNO,72,250969,371951,2822,601,3600163,374743
