Origin_airport,Destination_airport,Numtimes,Passengers,Seats,Flights,Distance,Origin_population,Destination_population
ORD,EKO,9,1371,1736,14,1445,17529224,48011
PIA,EKO,2,229,248,2,1365,365232,48011
CMI,EKO,2,226,248,2,1446,200333,48011
RFD,EKO,6,671,744,6,1382,306413,48011
BMI,EKO,4,446,496,4,1406,143366,48011
SPI,EKO,3,332,372,3,1375,204012,48011
ORD,ERI,1,43,100,1,398,17529224,278114
ORD,RNO,31,111847,157164,1127,1671,17529224,315959
MDW,RNO,1,144,218,1,1680,17529224,315959
ORD,CAK,13,20564,42835,668,344,17529224,687989
MDW,FAR,2,288,298,2,571,17529224,168410
ORD,FNT,1,115,150,1,223,17529224,435691
MDW,FNT,3,1107,3633,23,221,17529224,435691
ORD,MIA,116,654827,932481,5132,1197,17529224,9383038
MDW,MIA,5,7035,11033,72,1182,17529224,9383038
PIA,OMA,2,246,248,2,327,365232,742096
ORD,OMA,64,233033,317158,2086,416,17529224,742096
MDW,OMA,41,200241,278077,2099,423,17529224,742096
CMI,OMA,2,206,248,2,409,200333,742096
BMI,OMA,17,12276,34409,311,369,143366,742096
ORD,TPA,58,309444,405115,2633,1012,17529224,2254405
MDW,TPA,4,269,590,4,997,17529224,2254405
ORD,TUL,41,127379,188332,1439,585,17529224,831724
MDW,TUL,6,533,1016,8,583,17529224,831724
ORD,ALB,60,174108,273319,2149,723,17529224,819851
ORD,AUS,65,228742,324775,2838,972,17529224,1104612
MDW,AUS,1,119,173,1,967,17529224,1104612
ORD,BOS,129,853475,1264155,9385,867,17529224,8506878
MDW,DFW,16,136341,182798,1432,797,17529224,9475022
ORD,DFW,134,931119,1517195,11015,802,17529224,9475022
ORD,AFW,1,94,97,1,806,17529224,9475022
MDW,DAL,1,67,122,1,793,17529224,9475022
ORD,DAY,64,133213,252637,3043,240,17529224,859406
MDW,DAY,11,12776,19209,1011,226,17529224,859406
ORD,DLH,8,6386,13582,268,397,17529224,267894
MDW,DLH,1,128,149,1,413,17529224,267894
ORD,EWR,205,922367,1571992,11728,719,17529224,17341505
MDW,EWR,62,112080,204117,1583,711,17529224,17341505
ORD,PIA,36,94098,170001,3025,130,17529224,365232
SPI,PIA,1,37,66,1,56,204012,365232
BMI,PIA,34,11893,33843,984,42,143366,365232
CMI,PIA,2,49,80,2,86,200333,365232
MDW,PUB,1,51,173,1,918,17529224,134919
ORD,PUB,1,88,147,1,913,17529224,134919
ORD,TOL,23,61017,94724,1477,214,17529224,651021
RFD,TOL,1,33,34,1,276,306413,651021
ORD,TUS,18,111245,137735,989,1437,17529224,790333
MDW,TUS,1,158,173,1,1440,17529224,790333
ORD,CWA,31,62478,135016,2446,213,17529224,123082
ORD,ABI,3,255,417,3,924,17529224,153457
BMI,ATL,15,37352,62012,556,533,143366,3872031
MDW,ATL,23,141177,222685,2001,590,17529224,3872031
ORD,ATL,213,1157842,1602518,10312,606,17529224,3872031
ORD,AGS,1,215,243,1,677,17529224,480764
ORD,BUF,69,265413,426208,3466,473,17529224,1151490
RFD,ORD,29,4419,5734,38,63,306413,17529224
CMI,ORD,24,51980,80512,1517,135,200333,17529224
BMI,ORD,23,39310,58080,1277,116,143366,17529224
SPI,ORD,16,12974,29140,668,174,204012,17529224
SPI,MDW,1,60,173,1,168,204012,17529224
ORD,MDW,9,979,1670,10,16,17529224,17529224
MDW,ORD,4,372,436,4,16,17529224,17529224
PIA,ORD,47,100893,171008,3026,130,365232,17529224
CMI,DTW,28,24976,39294,1155,298,200333,8944948
RFD,DTW,25,24712,40095,1179,295,306413,8944948
ORD,DTW,211,795423,1112144,7596,235,17529224,8944948
MDW,DTW,90,386323,655012,5406,229,17529224,8944948
BMI,DTW,27,19538,26838,786,314,143366,8944948
PIA,DTW,2,13,102,3,346,365232,8944948
RFD,DBQ,15,3600,14453,425,84,306413,87879
ORD,DBQ,15,17700,35265,811,147,17529224,87879
ORD,ELP,13,68834,127434,919,1236,17529224,694603
MDW,HOU,28,2472,10319,82,937,17529224,4445918
ORD,IAH,149,538234,786883,6137,925,17529224,4445918
MDW,IAH,9,10041,20893,200,917,17529224,4445918
ORD,HOU,1,46,50,1,945,17529224,4445918
MDW,JAN,33,54590,98487,726,666,17529224,483863
ORD,MKL,1,59,149,1,443,17529224,100502
ORD,JAC,5,15371,23964,128,1162,17529224,19683
ORD,LAN,22,54633,79732,1423,179,17529224,450303
MDW,LAN,12,9809,19024,997,176,17529224,450303
PIA,LNK,1,78,86,1,371,365232,251921
MDW,LNK,11,9566,11764,68,473,17529224,251921
ORD,LNK,39,66491,97483,722,466,17529224,251921
ORD,LBB,1,139,139,1,951,17529224,235445
CMI,MSN,1,16,46,1,221,200333,498146
ORD,MSN,79,275289,408937,5027,109,17529224,498146
MDW,MSN,12,10416,19423,1018,124,17529224,498146
ORD,MEM,89,179962,276032,2338,491,17529224,1156598
ORD,MAF,2,329,550,4,1048,17529224,119120
ORD,OAK,34,109831,145692,1140,1835,17529224,3998233
MDW,MCO,24,161872,224590,1304,989,17529224,1502837
ORD,MCO,91,474833,577909,3372,1005,17529224,1502837
BMI,MCO,9,19701,29918,243,936,143366,1502837
ORD,OSH,2,133,188,2,142,17529224,149995
MWA,PAH,1,9,19,1,49,61348,97862
ORD,PHX,101,670577,826547,4946,1440,17529224,2930726
MDW,PHX,22,88542,133732,715,1444,17529224,2930726
ORD,RDU,81,290395,470615,3386,647,17529224,721489
